COUNTY_CODE,COUNTY_NAME,CONST_CODE,CONSTITUENCY_NAME,CAW_CODE,CAW_NAME,VOTERS,NO. OF POLLING STATIONS
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,"17,082",26
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,"13,608",22
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,"16,606",26
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,"17,586",29
1,MOMBASA,1,CHANGAMWE,5,CHAANI,"21,449",33
1,MOMBASA,2,JOMVU,6,JOMVU KUU,"22,269",36
1,MOMBASA,2,JOMVU,7,MIRITINI,"16,899",27
1,MOMBASA,2,JOMVU,8,MIKINDANI,"30,139",46
1,MOMBASA,3,KISAUNI,9,MJAMBERE,"22,384",34
1,MOMBASA,3,KISAUNI,10,JUNDA,"23,979",37
1,MOMBASA,3,KISAUNI,11,BAMBURI,"17,685",28
1,MOMBASA,3,KISAUNI,12,MWAKIRUNGE,"4,946",9
1,MOMBASA,3,KISAUNI,13,MTOPANGA,"17,539",28
1,MOMBASA,3,KISAUNI,14,MAGOGONI,"14,846",23
1,MOMBASA,3,KISAUNI,15,SHANZU,"24,772",39
1,MOMBASA,4,NYALI,16,FRERE TOWN,"20,215",33
1,MOMBASA,4,NYALI,17,ZIWA LA NG'OMBE,"20,747",31
1,MOMBASA,4,NYALI,18,MKOMANI,"19,669",31
1,MOMBASA,4,NYALI,19,KONGOWEA,"24,457",38
1,MOMBASA,4,NYALI,20,KADZANDANI,"18,929",32
1,MOMBASA,5,LIKONI,21,MTONGWE,"13,149",23
1,MOMBASA,5,LIKONI,22,SHIKA ADABU,"13,089",21
1,MOMBASA,5,LIKONI,23,BOFU,"18,060",28
1,MOMBASA,5,LIKONI,24,LIKONI,"10,855",17
1,MOMBASA,5,LIKONI,25,TIMBWANI,"32,173",51
1,MOMBASA,6,MVITA,26,MJI WA KALE/MAKADARA,"19,927",34
1,MOMBASA,6,MVITA,27,TUDOR,"20,380",35
1,MOMBASA,6,MVITA,28,TONONOKA,"21,055",36
1,MOMBASA,6,MVITA,29,SHIMANZI/GANJONI,"17,312",33
1,MOMBASA,6,MVITA,30,MAJENGO,"28,417",48
2,KWALE,7,MSAMBWENI,31,GOMBATO BONGWE,"17,538",31
2,KWALE,7,MSAMBWENI,32,UKUNDA,"21,500",34
2,KWALE,7,MSAMBWENI,33,KINONDO,"11,014",21
2,KWALE,7,MSAMBWENI,34,RAMISI,"18,569",43
2,KWALE,8,LUNGALUNGA,35,PONGWE/KIKONENI,"16,068",34
2,KWALE,8,LUNGALUNGA,36,DZOMBO,"13,282",26
2,KWALE,8,LUNGALUNGA,37,MWERENI,"13,010",29
2,KWALE,8,LUNGALUNGA,38,VANGA,"14,588",29
2,KWALE,9,MATUGA,39,TSIMBA GOLINI,"17,507",40
2,KWALE,9,MATUGA,40,WAA,"17,085",32
2,KWALE,9,MATUGA,41,TIWI,"9,478",21
2,KWALE,9,MATUGA,42,KUBO SOUTH,"10,657",26
2,KWALE,9,MATUGA,43,MKONGANI,"15,639",34
2,KWALE,10,KINANGO,44,NDAVAYA,"10,783",29
2,KWALE,10,KINANGO,45,PUMA,"8,504",27
2,KWALE,10,KINANGO,46,KINANGO,"13,620",32
2,KWALE,10,KINANGO,47,MACKINNON ROAD,"12,483",30
2,KWALE,10,KINANGO,48,CHENGONI/SAMBURU,"13,124",28
