CAW_CODE,VOTERS
1,17082
2,13608
3,16606
4,17586
5,21449
6,22269
7,16899
8,30139
9,22384
10,23979
11,17685
12,4946
13,17539
14,14846
15,24772
16,20215
17,20747
18,19669
19,24457
20,18929
21,13149
22,13089
23,18060
24,10855
25,32173
26,19927
27,20380
28,21055
29,17312
30,28417
31,17538
32,21500
33,11014
34,18569
35,16068
36,13282
37,13010
38,14588
39,17507
40,17085
41,9478
42,10657
43,15639
44,10783
45,8504
46,13620
47,12483
48,13124
49,13773
50,12819
51,12640
52,20552
53,12376
54,12620
55,13509
56,14338
57,15943
58,13670
59,11167
60,28602
61,12333
62,19093
63,18089
64,12574
65,20971
66,8836
67,7034
68,10187
69,9362
70,23749
71,13328
72,14717
73,10286
74,16429
75,9107
76,7830
77,16623
78,28264
79,25386
80,7889
81,15200
82,14827
83,13985
84,8918
85,7634
86,7089
87,8761
88,7127
89,5906
90,9642
91,8294
92,7463
93,5914
94,12403
95,7576
96,6897
97,9249
98,9408
99,6628
100,5970
101,13673
102,3906
103,655
104,3366
105,10700
106,7376
107,7994
108,4406
109,8111
110,9589
111,8058
112,5673
113,8481
114,6924
115,5166
116,10897
117,5289
118,6954
119,6771
120,6033
121,8580
122,8881
123,8032
124,7505
125,14030
126,5717
127,14773
128,5529
129,7035
130,5388
131,12267
132,17630
133,13862
134,10532
135,3743
136,3540
137,1830
138,4087
139,6945
140,4803
141,3759
142,1207
143,4498
144,2836
145,3444
146,3910
147,3731
148,1699
149,5964
150,4435
151,6023
152,3602
153,2851
154,3378
155,6162
156,3890
157,4738
158,3571
159,5121
160,9292
161,1961
162,3161
163,4384
164,2269
165,4690
166,5404
167,2681
168,5886
169,7300
170,6875
171,6903
172,3358
173,5625
174,7371
175,3345
176,6485
177,7094
178,5107
179,8858
180,3459
181,4994
182,2718
183,7505
184,8859
185,3795
186,4036
187,8407
188,5710
189,5643
190,9019
191,4250
192,5494
193,6725
194,3934
195,6413
196,3252
197,5372
198,946
199,4738
200,4168
201,10905
202,8450
203,2366
204,20192
205,9318
206,2650
207,6247
208,6875
209,4543
210,5518
211,3219
212,14085
213,10210
214,7244
215,4207
216,1549
217,1766
218,4856
219,3308
220,2842
221,5971
222,7078
223,11813
224,10954
225,8979
226,6592
227,4277
228,7044
229,8572
230,5974
231,6987
232,2281
233,7939
234,4018
235,15125
236,5937
237,4765
238,8180
239,3411
240,5811
241,11947
242,12530
243,4322
244,7285
245,4521
246,10995
247,4653
248,5794
249,7981
250,5310
251,15722
252,14253
253,12765
254,12653
255,12773
256,13756
257,17794
258,17736
259,20428
260,14198
261,14992
262,9998
263,13303
264,12032
265,17025
266,7815
267,15645
268,19172
269,12081
270,9401
271,19291
272,16924
273,10316
274,17831
275,11558
276,21454
277,12855
278,18601
279,19970
280,16567
281,20036
282,16855
283,14463
284,10504
289,13819
285,22013
286,23306
287,10986
288,14175
290,12820
291,17121
292,11958
293,19264
294,17618
295,28633
296,10220
297,11935
298,14364
299,11679
300,20531
301,9429
302,16236
303,20951
304,14762
305,15108
306,12618
307,12021
308,8816
309,17392
310,17092
311,17404
312,10826
313,17519
314,16617
315,27605
316,9368
317,13944
318,12097
319,15193
320,15940
321,13579
322,16224
323,16826
324,10623
325,17775
326,19025
327,7894
328,17110
329,9077
330,24822
331,8081
332,18007
333,14210
334,15016
335,6177
336,13713
337,13731
338,13158
339,11247
340,11685
341,10947
342,11314
343,11269
344,9222
345,8868
346,16145
347,13712
348,12868
349,9317
350,12284
351,10624
352,16620
353,10086
354,10471
355,17431
356,14562
357,14031
358,14241
359,11149
360,10662
361,10967
362,8901
363,6917
364,8694
365,14385
366,11130
367,9744
368,10800
369,7699
370,14427
371,16689
372,16591
373,10093
374,7958
375,10658
376,14408
377,15260
378,17499
379,16372
380,10401
381,13025
382,14603
383,11422
384,14425
385,15766
386,11472
387,11439
388,20118
389,7816
390,15300
391,13812
392,13192
393,12605
394,40132
395,12663
396,20020
397,45365
398,16098
399,13992
400,13453
401,27204
402,12640
403,16057
404,10433
405,15062
406,16061
407,16965
408,11276
409,13202
410,8707
411,16904
412,14825
413,12359
414,17241
415,11606
416,12941
417,20182
418,12674
419,17376
420,19532
421,10899
422,15529
423,11992
424,16690
425,12102
426,9867
427,10353
428,12781
429,16324
430,12700
431,20432
432,12362
433,8736
434,12610
435,11256
436,15409
437,12954
438,15512
439,15390
440,13772
441,14857
442,16919
443,10484
444,15210
445,12075
446,14575
447,10742
448,14379
449,16277
450,13125
451,10295
452,10719
453,12747
454,14965
455,14194
456,12305
457,14165
458,11938
459,13812
460,16719
461,12301
462,12542
463,12057
464,16388
465,11844
466,13487
467,21035
468,17194
469,10816
470,17330
471,12054
472,15491
473,11616
474,15365
475,12776
476,13553
477,14014
478,12737
479,17093
480,12646
481,17430
482,25576
483,14028
484,18313
485,14716
486,11509
487,12098
488,13227
489,12175
490,17810
491,15226
492,28325
493,10526
494,12936
495,15847
496,17950
497,11653
498,14119
499,11426
500,15901
501,17492
502,10746
503,23093
504,25588
505,14734
506,15073
507,13046
508,16911
509,20802
510,26668
511,18613
512,17017
513,19643
514,23363
515,15998
516,14642
517,22124
518,11964
519,19723
520,20785
521,14432
522,17070
523,18456
524,19360
525,22990
526,17550
527,18834
528,10991
529,14208
530,14953
531,20558
532,17771
533,23830
534,15794
535,12620
536,15499
537,12874
538,15461
539,12391
540,15095
541,18237
542,15616
543,16703
544,20591
545,10837
546,14630
547,12891
548,16432
549,15942
550,25272
551,13053
552,18067
553,13671
554,31067
555,18518
556,13846
557,17196
558,18038
559,15146
560,26648
561,32063
562,22110
563,18794
564,42807
565,51497
566,32284
567,11462
568,9273
569,13960
570,37686
571,13278
572,10458
573,15928
574,23758
575,31867
576,12402
577,25756
578,19704
579,16576
580,17841
581,19507
582,13404
583,20691
584,14418
585,32217
586,11002
587,21634
588,26974
589,17472
590,18331
591,17346
592,18367
593,20183
594,18938
595,10612
596,14530
597,12671
598,18203
599,28120
600,17633
601,13020
602,25116
603,15962
604,16012
605,17148
606,15532
607,17780
608,13853
609,11641
610,17849
611,5158
612,8772
613,5826
614,6794
615,3085
616,4373
617,10342
618,3752
